Total Runtime,12740.979100,-nan,0
Total Runtime,10806.684400,-nan,0
Total Runtime,11117.333400,-nan,0
Total Runtime,9931.796700,-nan,0
Total Runtime,10206.920200,-nan,0
Total Runtime,9510.811900,-nan,0
Total Runtime,9312.790300,-nan,0
Total Runtime,10497.782300,-nan,0
Total Runtime,10120.118200,-nan,0
Total Runtime,9880.974300,-nan,0
Total Runtime,13984.406600,-nan,0
Total Runtime,10394.268800,-nan,0
Total Runtime,9780.459200,-nan,0
Total Runtime,10200.514300,-nan,0
Total Runtime,11206.403300,-nan,0
Total Runtime,11172.080500,-nan,0
Total Runtime,9882.697400,-nan,0
Total Runtime,10250.992600,-nan,0
Total Runtime,10846.394500,-nan,0
Total Runtime,10450.021900,-nan,0
Total Runtime,13091.065200,-nan,0
Total Runtime,12193.372100,-nan,0
Total Runtime,9921.384300,-nan,0
Total Runtime,10907.478100,-nan,0
Total Runtime,12546.707300,-nan,0
Total Runtime,17612.230900,-nan,0
Total Runtime,24738.166900,-nan,0
Total Runtime,16378.456200,-nan,0
Total Runtime,13348.264300,-nan,0
Total Runtime,16360.579100,-nan,0
Total Runtime,16457.351900,-nan,0
Total Runtime,14769.774600,-nan,0
Total Runtime,13858.310400,-nan,0
Total Runtime,13232.565800,-nan,0
Total Runtime,13270.466400,-nan,0
Total Runtime,13025.553900,-nan,0
Total Runtime,13770.933500,-nan,0
Total Runtime,12862.629200,-nan,0
Total Runtime,12786.285400,-nan,0
Total Runtime,12778.878000,-nan,0
Total Runtime,12953.651600,-nan,0
Total Runtime,12772.704700,-nan,0
Total Runtime,13443.600900,-nan,0
Total Runtime,12971.770800,-nan,0
Total Runtime,14212.657100,-nan,0
Total Runtime,14140.989300,-nan,0
Total Runtime,13377.892000,-nan,0
Total Runtime,12997.568500,-nan,0
Total Runtime,12926.077500,-nan,0
Total Runtime,13077.453200,-nan,0
Total Runtime,370.471100,-nan,0
Total Runtime,13148.154900,-nan,0
Total Runtime,13060.832600,-nan,0
Total Runtime,13292.421900,-nan,0
Total Runtime,13977.157200,-nan,0
Total Runtime,14978.476800,-nan,0
Total Runtime,15418.502500,-nan,0
